,label,파종기,정식기,개화기,착과형태,predict_kmeans,predict_dbscan,predict_hierarchy
35,2,314.0,429.0,523.0,2.0,0,-1,0
36,4,224.0,430.0,522.0,2.0,0,-1,0
37,3,421.0,603.0,627.0,2.0,1,3,1
38,3,224.0,430.0,516.0,2.0,0,-1,0
39,3,421.0,603.0,627.0,1.938860103626943,1,3,1
40,1,314.0,429.0,605.0,2.0,2,-1,0
41,4,421.0,603.0,624.0,2.0,1,2,1
42,3,421.0,603.0,627.0,2.0,1,3,1
43,3,421.0,603.0,624.0,2.0,1,2,1
44,4,421.0,603.0,624.0,2.0,1,2,1
45,3,421.0,603.0,624.0,2.0,1,2,1
46,3,421.0,603.0,620.0,2.0,1,-1,1
47,3,421.0,603.0,625.0,2.0,1,-1,1
48,3,421.0,603.0,624.0,2.0,1,2,1
49,3,421.0,603.0,620.0,2.0,1,-1,1
50,3,421.0,603.0,630.0,2.0,1,-1,1
51,3,421.0,603.0,628.0,2.0,1,-1,1
52,3,421.0,603.0,624.0,1.938860103626943,1,2,1
53,3,421.0,603.0,626.0,2.0,1,-1,1
54,3,421.0,603.0,629.0,2.0,1,-1,1
55,3,421.0,603.0,619.0,2.0,1,-1,1
56,3,421.0,603.0,629.0,2.0,1,-1,1
57,3,421.0,603.0,624.0,2.0,1,2,1
58,3,421.0,603.0,630.0,2.0,1,-1,1
59,3,421.0,603.0,626.0,2.0,1,-1,1
60,3,421.0,603.0,629.0,2.0,1,-1,1
61,3,421.0,603.0,701.0,2.0,1,-1,1
62,3,421.0,603.0,626.0,2.0,1,-1,1
63,3,421.0,603.0,629.0,2.0,1,-1,1
64,3,421.0,603.0,622.0,2.0,1,-1,1
65,3,421.0,603.0,624.0,2.0,1,2,1
66,3,421.0,603.0,626.0,2.0,1,-1,1
67,3,421.0,603.0,630.0,2.0,1,-1,1
68,3,421.0,603.0,627.0,2.0,1,3,1
69,2,306.0,508.0,524.0,2.0,0,-1,0
70,1,312.0,507.0,631.7599039615847,4.0,2,1,2
71,1,312.0,507.0,631.7599039615847,4.0,2,1,2
72,3,314.0,429.0,528.0,2.0,0,-1,0
73,1,312.0,507.0,631.7599039615847,2.0,2,0,2
74,1,312.0,507.0,631.7599039615847,2.0,2,0,2
75,4,312.0,507.0,631.7599039615847,2.0,2,0,2
76,1,225.0,514.0,615.0,4.0,2,-1,0
77,99,225.0,514.0,526.0,4.0,0,-1,0
78,1,421.0,603.0,720.0,2.0,1,-1,1
79,1,312.0,507.0,631.7599039615847,4.0,2,1,2
80,3,421.0,603.0,620.0,2.0,1,-1,1
81,3,421.0,603.0,625.0,2.0,1,-1,1
82,3,421.0,603.0,625.0,2.0,1,-1,1
83,3,421.0,603.0,701.0,2.0,1,-1,1
84,1,312.0,507.0,631.7599039615847,4.0,2,1,2
85,1,312.0,507.0,631.7599039615847,2.0,2,0,2
86,3,421.0,603.0,703.0,2.0,1,-1,1
87,1,312.0,507.0,631.7599039615847,2.0,2,0,2
88,1,312.0,507.0,631.7599039615847,2.0,2,0,2
89,1,306.0,508.0,522.0,2.0,0,-1,0
90,1,306.0,508.0,607.0,2.0,2,-1,2
91,1,306.0,508.0,607.0,2.0,2,-1,2
92,3,348.0102774922919,531.5575888051668,631.7599039615847,2.0,2,-1,2
93,1,348.0102774922919,531.5575888051668,620.0,2.0,2,-1,2
94,1,348.0102774922919,531.5575888051668,604.0,2.0,2,-1,2
95,3,348.0102774922919,531.5575888051668,604.0,2.0,2,-1,2
96,3,224.0,430.0,516.0,2.0,0,-1,0
97,3,224.0,430.0,516.0,2.0,0,-1,0
98,1,302.0,418.0,523.0,2.0,0,-1,0
99,1,302.0,418.0,523.0,2.0,0,-1,0
