label,파종기,정식기,초장,생과중,성숙기..착색기.,개화기,착과형태,과폭,과장,천립중,주경장,엽장,엽폭,과실.속살의.두께,과실.심실의.수,절간장
1,312,429,130,0.3,720,618,1,1.7,1.8,NA,26.3,20,9.8,0.2,NA,8.2
1,312,507,159.3,NA,NA,NA,2,NA,4.9,NA,NA,NA,NA,NA,NA,NA
3,312,507,186,NA,NA,NA,2,NA,7.7,NA,NA,NA,NA,NA,NA,NA
1,312,507,204.7,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,NA
1,312,507,105.3,NA,NA,NA,2,NA,10.3,NA,NA,NA,NA,NA,NA,NA
1,312,507,135,NA,NA,NA,2,NA,9.6,NA,NA,NA,NA,NA,NA,NA
1,302,418,91,NA,NA,604,2,NA,5.6,6.2,23,12.1,7.3,NA,NA,4.9
1,302,418,91,NA,NA,604,2,NA,5.6,6.2,23,12.1,7.3,NA,NA,4.9
2,312,429,131.7,3.1,721,527,3,1,6.9,NA,34.7,13,4.2,0.5,NA,9.4
1,312,507,107.7,NA,NA,NA,2,NA,8.6,NA,NA,NA,NA,NA,NA,NA
1,312,429,56,211.6,723,527,2,8.6,10.2,NA,16.2,23.7,11.5,6.4,NA,5.9
1,312,507,134,NA,NA,NA,2,NA,19.1,NA,NA,NA,NA,NA,NA,NA
1,314,429,200,20.3,NA,620,2,3.3,3.8,5.5,25,12.5,5.6,2.6,NA,NA
1,312,507,164.7,NA,NA,NA,2,NA,13.1,NA,NA,NA,NA,NA,NA,NA
1,312,507,153,NA,NA,NA,2,NA,13.3,NA,NA,NA,NA,NA,NA,NA
3,312,507,202.3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1,312,429,118.3,0.7,720,607,1,1.1,1,NA,23.7,13.7,6.3,0.5,NA,8.3
1,312,507,198.7,NA,NA,NA,1,NA,4.8,NA,NA,NA,NA,NA,NA,NA
3,227,507,149.6,NA,NA,615,2,NA,18.3,9.2,19.2,NA,NA,3.8,2.6,NA
3,302,418,89,NA,NA,527,2,NA,11.9,6.2,21,8.5,4.2,NA,NA,5.2
3,302,418,89,NA,NA,527,2,NA,11.9,6.2,21,8.5,4.2,NA,NA,5.2
1,312,429,116.7,5.2,722,527,1,1.6,6,NA,18.3,15.5,6.2,0.7,NA,8.8
5,312,507,171.3,NA,NA,NA,2,NA,4.6,NA,NA,NA,NA,NA,NA,NA
1,312,507,107,NA,NA,NA,2,NA,7.9,NA,NA,NA,NA,NA,NA,NA
1,312,429,136.7,1.5,722,607,1,1,3.1,NA,28.7,17.4,8.1,0.5,NA,8.7
1,302,418,121,NA,NA,604,1,NA,4.9,4.3,61,9.7,6.3,NA,NA,10.1
1,302,418,121,NA,NA,604,1,NA,4.9,4.3,61,9.7,6.3,NA,NA,10.1
1,302,418,133,NA,NA,610,1,NA,5,4.6,49,9.7,7.1,NA,NA,7.3
1,302,418,133,NA,NA,610,1,NA,5,4.6,49,9.7,7.1,NA,NA,7.3
1,225,NA,123.3,NA,NA,708,2,2.4,6.1,NA,38.2,15.6,9.1,2.3,3,15.8
2,314,429,180,5.9,NA,609,2,1.4,8.1,6.5,29,11.3,5.3,1.6,NA,NA
3,225,NA,118,NA,NA,708,1,1.6,5,NA,33.8,15.6,8.5,2,2.2,17.7
2,314,429,180,8.4,NA,602,2,1.8,8.3,6,24,11,6,1.6,NA,NA
4,421,603,NA,NA,NA,629,2,NA,5.4,NA,13,NA,NA,1.4,NA,NA
1,421,603,NA,NA,NA,717,2,NA,11.6,NA,40,NA,NA,3.6,NA,NA
1,312,429,133.3,32.9,NA,527,2,2.6,12,NA,29.3,23,11,3.4,NA,10.3
1,421,603,NA,NA,NA,717,2,NA,10.5,NA,49,NA,NA,1.9,NA,NA
1,312,429,141.7,5,720,527,2,1.1,10.1,NA,20.2,15.3,6.5,1.1,NA,13
1,312,507,83,NA,NA,NA,2,NA,7.2,NA,NA,NA,NA,NA,NA,NA
